Department of Audits and Accounts,,,,
Obligations,,,,
,Organization,Vendor Name,Obligation Amount,Fiscal Year
,GEORGIA STATE UNIVERSITY,EDUCATIONA-001,102.00,2011
,GEORGIA STATE UNIVERSITY,"EDWARDS,DO-001",419.40,2011
,GEORGIA STATE UNIVERSITY,"EDWARDS,NI-001",350.00,2011
,GEORGIA STATE UNIVERSITY,ELBIALYSER-001,1000.01,2011
,GEORGIA STATE UNIVERSITY,ELECTRICAL-004,17051.50,2011
,GEORGIA STATE UNIVERSITY,ELECTRICAV-001,558.44,2011
,GEORGIA STATE UNIVERSITY,ELEVATOR-002,15000.00,2011
,GEORGIA STATE UNIVERSITY,ELLIOTTSTE-001,15004.12,2011
,GEORGIA STATE UNIVERSITY,EMORYCLINI-001,74923.37,2011
,GEORGIA STATE UNIVERSITY,EMORYUNIVE-001,117476.13,2011
,GEORGIA STATE UNIVERSITY,"EMSHOFF,JA-001",21.00,2011
,GEORGIA STATE UNIVERSITY,ENCONSYSTE-001,16684.50,2011
,GEORGIA STATE UNIVERSITY,"ENNIS,ROBI-001",56.50,2011
,GEORGIA STATE UNIVERSITY,ENTERPRISE-006,10277.30,2011
,GEORGIA STATE UNIVERSITY,ENTREBTG-001,4568.24,2011
,GEORGIA STATE UNIVERSITY,"EPIPHANE,D-001",2200.00,2011
,GEORGIA STATE UNIVERSITY,EPPENDORFN-001,34271.35,2011
,GEORGIA STATE UNIVERSITY,EQINDUSTRI-001,3026.00,2011
,GEORGIA STATE UNIVERSITY,"ERIKSEN,MI-001",1000.00,2011
,GEORGIA STATE UNIVERSITY,ESAMJONES-001,7898.88,2011
,GEORGIA STATE UNIVERSITY,ESCHER-001,433970.20,2011
,GEORGIA STATE UNIVERSITY,"EURY,MARIO-001",300.00,2011
,GEORGIA STATE UNIVERSITY,"EVANS,THEO-001",1010.60,2011
,GEORGIA STATE UNIVERSITY,EVERGREEN-001,6900.00,2011
,GEORGIA STATE UNIVERSITY,EXEMPLISCO-001,126.42,2011
,GEORGIA STATE UNIVERSITY,EXTREMENET-001,83340.00,2011
,GEORGIA STATE UNIVERSITY,"FAIN,ANGEL-001",14.15,2011
,GEORGIA STATE UNIVERSITY,"FARMER,DEA-001",2200.00,2011
,GEORGIA STATE UNIVERSITY,FEASTERKIO-001,20000.00,2011
,GEORGIA STATE UNIVERSITY,"FEINSTEIN,-001",10500.00,2011
,GEORGIA STATE UNIVERSITY,"FELMET,KAN-001",660.00,2011
,GEORGIA STATE UNIVERSITY,"FELTON,CHA-001",744.00,2011
,GEORGIA STATE UNIVERSITY,"FENNELLY,C-001",5112.69,2011
,GEORGIA STATE UNIVERSITY,"FERRARO,PA-001",1101.40,2011
,GEORGIA STATE UNIVERSITY,FISHERSCIE-001,267241.59,2011
,GEORGIA STATE UNIVERSITY,FISHNETSEC-001,27995.00,2011
,GEORGIA STATE UNIVERSITY,FLAGSHIPRE-001,8143.70,2011
,GEORGIA STATE UNIVERSITY,"FLEMING,KE-001",26.50,2011
,GEORGIA STATE UNIVERSITY,"FLORES,JOA-001",946.10,2011
,GEORGIA STATE UNIVERSITY,FOREVERLAW-001,7530.00,2011
,GEORGIA STATE UNIVERSITY,"FOSTER,DAW-001",810.00,2011
,GEORGIA STATE UNIVERSITY,"FOUQUIER,M-001",177.00,2011
,GEORGIA STATE UNIVERSITY,FOURNILLIE-004,1818.80,2011
,GEORGIA STATE UNIVERSITY,"FOXWORTH,T-001",2200.00,2011
,GEORGIA STATE UNIVERSITY,FREEDSUSAN-002,2400.00,2011
,GEORGIA STATE UNIVERSITY,"FRYER,SANT-001",600.00,2011
,GEORGIA STATE UNIVERSITY,FULLERMAX-001,7056.00,2011
,GEORGIA STATE UNIVERSITY,FURMANUNIV-001,17356.00,2011
,GEORGIA STATE UNIVERSITY,G&KSERVICE-001,10971.36,2011
,GEORGIA STATE UNIVERSITY,GABRIELSON-008,2600.00,2011
,GEORGIA STATE UNIVERSITY,"GADDA,GIOV-001",900.01,2011
,GEORGIA STATE UNIVERSITY,"GALLAGHER,-001",2536.29,2011
,GEORGIA STATE UNIVERSITY,"GALLAGHER,-002",15.00,2011
,GEORGIA STATE UNIVERSITY,"GALLASPY,M-001",1807.00,2011
,GEORGIA STATE UNIVERSITY,GANDHIEL-001,6500.00,2011
,GEORGIA STATE UNIVERSITY,"GARCIA,JEN-004",744.00,2011
,GEORGIA STATE UNIVERSITY,"GARCIA,JOD-001",1295.00,2011
,GEORGIA STATE UNIVERSITY,GARFGATESG-001,132167.84,2011
,GEORGIA STATE UNIVERSITY,GARINCORPO-001,12726.00,2011
,GEORGIA STATE UNIVERSITY,GASSOUTH-001,287992.57,2011
,GEORGIA STATE UNIVERSITY,"GAYLES,JON-001",910.00,2011
,GEORGIA STATE UNIVERSITY,"GEARY,COLL-001",652.80,2011
,GEORGIA STATE UNIVERSITY,GEHEALTHCA-001,24261.64,2011
,GEORGIA STATE UNIVERSITY,GEOHYDROEN-001,4679.30,2011
,GEORGIA STATE UNIVERSITY,GEORGIABUI-002,9002.95,2011
,GEORGIA STATE UNIVERSITY,GEORGIACAN-001,1439609.03,2011
,GEORGIA STATE UNIVERSITY,GEORGIACOL-001,1500.00,2011
,GEORGIA STATE UNIVERSITY,GEORGIAHEA-001,83864.59,2011
,GEORGIA STATE UNIVERSITY,GEORGIAHEA-004,7000.00,2011
,GEORGIA STATE UNIVERSITY,GEORGIAINT-001,40209.80,2011
,GEORGIA STATE UNIVERSITY,GEORGIAPOW-001,1087025.01,2011
,GEORGIA STATE UNIVERSITY,GEORGIAPUB-004,195000.00,2011
,GEORGIA STATE UNIVERSITY,GEORGIATEC-008,75668.86,2011
,GEORGIA STATE UNIVERSITY,"GIES,DOUGL-001",229.40,2011
,GEORGIA STATE UNIVERSITY,"GILMORE,GE-001",741.00,2011
,GEORGIA STATE UNIVERSITY,GLOBALBUSI-001,24491.31,2011
,GEORGIA STATE UNIVERSITY,GLOBALINDU-001,11649.20,2011
,GEORGIA STATE UNIVERSITY,"GO,ANGELAC-001",0.01,2011
,GEORGIA STATE UNIVERSITY,GOLDSLEGER-001,1500.00,2011
,GEORGIA STATE UNIVERSITY,GOODFELLOW-001,101.50,2011
,GEORGIA STATE UNIVERSITY,"GORDON,LES-001",402.02,2011
,GEORGIA STATE UNIVERSITY,"GORDON,PAU-001",568.66,2011
,GEORGIA STATE UNIVERSITY,GORDONDOC-001,139.71,2011
,GEORGIA STATE UNIVERSITY,GOVCONNEC-001,2061.40,2011
,GEORGIA STATE UNIVERSITY,GRADYHEALT-001,7291.67,2011
,GEORGIA STATE UNIVERSITY,GRAEBEL-001,9995.00,2011
,GEORGIA STATE UNIVERSITY,"GRAHAM,GEO-001",1785.00,2011
,GEORGIA STATE UNIVERSITY,GRANDBOISM-001,6000.00,2011
,GEORGIA STATE UNIVERSITY,GRAYBARELE-002,18718.19,2011
,GEORGIA STATE UNIVERSITY,GREATERDEK-001,8990.00,2011
,GEORGIA STATE UNIVERSITY,"GREEN,KATH-001",1044.72,2011
,GEORGIA STATE UNIVERSITY,GREENSPEED-001,31211.00,2011
,GEORGIA STATE UNIVERSITY,GRIFFITHJE-003,4160.00,2011
,GEORGIA STATE UNIVERSITY,"GRIM,ELIZA-001",200.00,2011
,GEORGIA STATE UNIVERSITY,GROUPELACA-001,11217.45,2011
,GEORGIA STATE UNIVERSITY,"GRUSZKA,WI-002",50.00,2011
,GEORGIA STATE UNIVERSITY,GSUDEFAULT-001,60000.00,2011
,GEORGIA STATE UNIVERSITY,"GU,BAOTONG-001",8917.73,2011
,GEORGIA STATE UNIVERSITY,GUASTAFERR-001,241.23,2011
,GEORGIA STATE UNIVERSITY,GWINNETTCO-003,2450.14,2011
,GEORGIA STATE UNIVERSITY,H&HMECHANI-002,7985.00,2011
,GEORGIA STATE UNIVERSITY,HALCON-001,5184.50,2011
,GEORGIA STATE UNIVERSITY,HALEMFGCO-001,1299.20,2011
,GEORGIA STATE UNIVERSITY,HALOBRANDE-001,5679.16,2011
,GEORGIA STATE UNIVERSITY,"HAMELBERG,-001",473.00,2011
,GEORGIA STATE UNIVERSITY,"HAMPTON,DE-001",500.00,2011
,GEORGIA STATE UNIVERSITY,HANNAWADIA-001,12787.10,2011
,GEORGIA STATE UNIVERSITY,"HANSEN,CAR-001",2500.00,2011
,GEORGIA STATE UNIVERSITY,HARALSONGR-001,4825.00,2011
,GEORGIA STATE UNIVERSITY,HARTERCO-001,4020.15,2011
,GEORGIA STATE UNIVERSITY,"HARWOOD,RO-001",104.28,2011
,GEORGIA STATE UNIVERSITY,"HAWK,SHILA-001",855.00,2011
,GEORGIA STATE UNIVERSITY,HAWKINSWAS-001,27595.00,2011
,GEORGIA STATE UNIVERSITY,"HAWLEY,ZAC-001",850.01,2011
,GEORGIA STATE UNIVERSITY,"HAYES,CARO-001",50.00,2011
,GEORGIA STATE UNIVERSITY,HAZZARDANN-001,8400.00,2011
,GEORGIA STATE UNIVERSITY,HDSUPPLYFA-001,5034.50,2011
,GEORGIA STATE UNIVERSITY,HEERYINTER-002,19500.00,2011
,GEORGIA STATE UNIVERSITY,"HELLER,KAT-001",357.73,2011
,GEORGIA STATE UNIVERSITY,HELMSTUTLE-001,5.61,2011
,GEORGIA STATE UNIVERSITY,"HENRY,TODD-001",402.59,2011
